"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.888096396E2,4.820231014E1,1.161985305E1,4.979365519E2,1.720807457E1,1.990873871E2,1.072254563E1,8.001208274E0,8.001208274E0,0.000000000E0
5.898096400E2,4.820217128E1,1.161975381E1,4.979961511E2,1.720807457E1,1.990873871E2,1.073949822E1,8.001208274E0,8.001208274E0,0.000000000E0
5.908096416E2,4.820202426E1,1.161969328E1,4.979594841E2,1.811169052E1,1.990873871E2,1.075685107E1,8.001208274E0,8.001208274E0,0.000000000E0
5.918096418E2,4.820187304E1,1.161963541E1,4.980533760E2,1.811169052E1,1.982275543E2,1.077313037E1,6.000906205E0,6.000906205E0,0.000000000E0
5.928096427E2,4.820173216E1,1.161957565E1,4.981393399E2,1.784343719E1,1.982275543E2,1.079038647E1,8.001208274E0,8.001208274E0,0.000000000E0
5.938096428E2,4.820158460E1,1.161950355E1,4.981199761E2,1.706717682E1,1.982275543E2,1.080817530E1,8.001208274E0,8.001208274E0,0.000000000E0
5.948096441E2,4.820143615E1,1.161941409E1,4.980941994E2,1.684140015E1,1.982275543E2,1.082485188E1,8.001208274E0,8.001208274E0,0.000000000E0
5.958096443E2,4.820129439E1,1.161934062E1,4.981741840E2,1.684140015E1,1.982275543E2,1.084178340E1,8.001208274E0,8.001208274E0,0.000000000E0
5.968096451E2,4.820114968E1,1.161926954E1,4.981953660E2,1.667968750E1,1.982275543E2,1.085855834E1,8.001208274E0,8.001208274E0,0.000000000E0
5.978096465E2,4.820100575E1,1.161920176E1,4.981213490E2,1.667968750E1,1.982275543E2,1.087493665E1,8.001208274E0,8.001208274E0,0.000000000E0
5.988096468E2,4.820086888E1,1.161912007E1,4.979676094E2,1.682962227E1,1.982275543E2,1.089173471E1,8.001208274E0,8.001208274E0,0.000000000E0
